100100022012790	Иевлева Ольга Павловна	f
100100022012791	Данилов Юрий Иванович	m
100100022012792	Степанов Евгений Юрьевич	m
100100022012793	Сердюк Олег Николаевич	m
100100022012794	Ефимов Владимир Борисович	m
100100022012795	Солкин Сергей Петрович	m
100100022012796	Гринин Александр Николаевич	m
100100022012797	Заварухин Алексей Юрьевич	m
100100022012798	Подвальный Алексей Сергеевич	m
100100022012799	Ракитин Игорь Анатольевич	m
100100022012800	Баглаев Александр Викторович	m
100100022012801	Быков Дмитрий Евгеньевич	m
100100022012802	Ивановский Валерий Валерьевич	m
100100022012803	Балабаев Сергей Анатольевич	m
100100022012804	Тихомиров Владимир Николаевич	m
100100022012805	Лейрих Анатолий Андреевич	m
100100022012806	Сурниченко Андрей Серафимович	m
100100022012807	Харитонов Владимир Анатольевич	m
100100022012808	Остроумова Елена Анатольевна	f
100100022012809	Миронов Сергей Сергеевич	m
100100022012810	Волков Александр Иванович	m
100100022012811	Калмыков Вячеслав Юрьевич	m
100100022012812	Копылов Александр Иванович	m
100100022012813	Алексеенко Иван Борисович	m
100100022012814	Стешин Алексей Николаевич	m
100100022012815	Коновалов Игорь Леонидович	m
100100022012816	Розовский Марк Григорьевич	m
100100022012817	Медведев Михаил Владимирович	m
100100022012818	Брещайко Павел Васильевич	m
100100022012819	Коробков Дмитрий Александрович	m
100100022012820	Афонина Наталия Евгеньевна	f
100100022012821	Лиходаева Елена Викторовна	f
100100022012822	Бовкун Наталья Владимировна	f
100100022012823	Чаплыгин Аркадий Алексеевич	m
100100022012824	Коваленко Ирина Львовна	f
100100022012825	Мурашов Олег Викторович	m
100100022012826	Андреева Ирина Евгеньевна	f
100100022012827	Потапова Светлана Витальевна	f
100100022012828	Ершов Андрей Владимирович	m
100100022012829	Ефимова Лилия Александровна	f
100100022012830	Дзюбенко Владислав Викторович	m
100100022069388	Путин Владимир Владимирович	m
100100022069389	Тхакушинов Асланчерий Китович	m
100100022069390	Хаджебиеков Руслан Гиссович	m
100100022069391	Демчук Николай Васильевич	m
100100022069392	Полевой Валерий Валерьевич	m
100100022069413	Бердников Александр Васильевич	m
100100022069414	Пекпеев Сергей Тимурович	m
100100022069415	Гигель Татьяна Анатольевна	f
100100022069416	Матросова Ольга Валерьевна	f
100100022069417	Рахимов Муртаза Губайдуллович	m
100100022069418	Крашенинников Павел Владимирович	m
100100022069419	Ахметов Спартак Галеевич	m
100100022069420	Кульмухаметов Энгельс Варисович	m
100100022069421	Назаров Андрей Геннадьевич	m
100100022069422	Искужин Рамиль Кабирович	m
100100022069423	Фурман Александр Борисович	m
100100022069424	Исаев Эрнст Фаритович	m
100100022069425	Мурзабаева Салия Шарифьяновна	f
100100022069426	Сабадаш Алексей Владиславович	m
100100022069427	Юсупов Марсель Харисович	m
100100022069428	Гималетдинов Ильдар Мансурович	m
100100022069429	Сагитов Ринат Шайхимансурович	m
100100022069430	Киекбаев Мурат Джелилович	m
100100022069431	Фахритдинов Иршат Юнирович	m
100100022069432	Наговицын Вячеслав Владимирович	m
100100022069433	Кузнецов Василий Федотович	m
100100022069434	Айдаев Геннадий Архипович	m
