Суринов Александр Владимирович	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012600	01.06.1973	Всероссийская политическая партия «Гражданская Сила»	14Республика Мордовия	2	выдвинут	зарегистрирован
Болушев Сергей Павлович	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012601	11.06.1973	Всероссийская политическая партия «Гражданская Сила»	14Республика Мордовия	3	выдвинут	зарегистрирован
Фалалеев Сергей Николаевич	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012602	16.11.1959	Всероссийская политическая партия «Гражданская Сила»	15Республика Саха (Якутия)	1	выдвинут	выбывший (после регистрации) кандидат
Гладких Юрий Сергеевич	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012603	26.11.1971	Всероссийская политическая партия «Гражданская Сила»	15Республика Саха (Якутия)	2	выдвинут	зарегистрирован
Баранов Александр Леонидович	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012604	26.11.1955	Всероссийская политическая партия «Гражданская Сила»	16Республика Северная Осетия - Алания	1	выдвинут	зарегистрирован
Габисов Алан Георгиевич	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012605	25.11.1977	Всероссийская политическая партия «Гражданская Сила»	16Республика Северная Осетия - Алания	2	выдвинут	зарегистрирован
Анищенко Андрей Леонидович	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012606	23.01.1955	Всероссийская политическая партия «Гражданская Сила»	17Республика Татарстан (Татарстан)	1	выдвинут	зарегистрирован
Каримова Дания Юсуфовна	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012607	07.11.1946	Всероссийская политическая партия «Гражданская Сила»	17Республика Татарстан (Татарстан)	2	выдвинут	зарегистрирован
Каримов Булат Наилевич	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012608	28.02.1976	Всероссийская политическая партия «Гражданская Сила»	17Республика Татарстан (Татарстан)	3	выдвинут	зарегистрирован
Габдулхакова Нэеля Нурулхаковна	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012609	12.01.1968	Всероссийская политическая партия «Гражданская Сила»	17Республика Татарстан (Татарстан)	4	выдвинут	зарегистрирован
Нурутдинова Клара Нурулхаковна	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012610	15.01.1958	Всероссийская политическая партия «Гражданская Сила»	17Республика Татарстан (Татарстан)	5	выдвинут	зарегистрирован
Гордеева Надежда Федоровна	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012611	09.10.1955	Всероссийская политическая партия «Гражданская Сила»	18Республика Тыва	1	выдвинут	зарегистрирован
